"Date","Distance","Duration","Activity","Avg.HR","Steps","Cal.Burned"
2021-12-15,3.1,1642,"Run",149,4403,403
2021-12-14,3.1,1690,"Run",149,4518,405
2021-12-13,3.07,1774,"Run",149,4702,410
2021-12-10,6.2,3890,"Run",148,10214,870
2021-12-09,3.11,1743,"Run",156,4610,399
2021-12-05,13.13,9540,"Run",148,22488,1876
2021-12-04,6.2,3600,"Run",149,9562,829
2021-12-03,6.21,3784,"Run",157,9940,852
2021-12-02,3.58,2187,"Run",150,5802,460
2021-12-01,6.21,3840,"Run",159,10188,866
2021-11-30,3.1,2292,"Run",149,5958,420
2021-11-28,2.79,1799,"Run",159,4505,386
2021-11-23,5,2966,"Run",149,7861,674
2021-11-22,3.11,1783,"Run",150,4789,400
2021-11-20,3.1,1748,"Run",149,4656,410
2021-11-17,3.1,1723,"Run",149,4597,408
2021-11-16,3.1,1818,"Run",149,4824,416
2021-11-15,3.18,1800,"Run",149,4793,421
2021-11-14,6.3,3600,"Run",149,9577,837
2021-11-13,6.26,3600,"Run",149,9571,834
2021-11-12,3.1,1872,"Run",149,4953,421
2021-11-11,5,2582,"Run",149,6943,651
2021-11-10,3.1,1703,"Run",149,4549,406
2021-11-04,3.1,1674,"Run",149,4479,403
2021-10-30,3.1,1683,"Run",149,4501,404
2021-10-23,3.1,1777,"Run",149,4726,412
2021-10-16,10,5964,"Run",154,16017,1351
2021-10-15,3.1,1577,"Run",149,4247,402
2021-10-14,3.57,2081,"Run",143,5598,457
2021-10-13,3.56,2072,"Run",146,5526,456
2021-10-12,2.5,1450,"Run",154,3876,363
2021-10-11,3.1,1516,"Run",149,4102,396
2021-10-09,3.09,1572,"Run",165,4217,437
2021-10-06,3.1,1800,"Run",148,4796,403
2021-10-05,3.1,1557,"Run",149,4200,400
2021-10-03,3.1,1581,"Run",149,4257,402
2021-10-02,3.1,1630,"Run",149,4374,403
2021-09-28,4.4,2573,"Run",153,6816,603
2021-09-27,3.57,2012,"Run",150,5405,457
2021-09-26,4,2135,"Run",149,5720,520
2021-09-25,4,2164,"Run",149,5790,521
2021-09-24,3.56,2015,"Run",161,5340,494
2021-09-23,3.56,2143,"Run",146,5720,469
2021-09-17,3.1,1809,"Run",149,4802,415
2021-09-13,3.5,2021,"Run",148,5376,449
2021-09-12,3.1,1864,"Run",149,4934,420
2021-09-11,3.1,1854,"Run",149,4910,419
2021-09-09,0.6,797,"Walk",111,1219,91
2021-09-06,2.33,3387,"Walk",105,4560,355
2021-09-04,2.48,1458,"Run",150,3865,344
2021-09-03,4,2367,"Run",155,6331,550
2021-09-01,3.1,1818,"Run",157,4864,412
2021-08-31,3.56,2043,"Run",150,5471,453
2021-08-29,3.11,1787,"Run",156,4710,416
2021-08-28,3.1,1815,"Run",157,4786,420
2021-08-26,7.5,4672,"Run",152,12445,1055
2021-08-25,3.1,1748,"Run",150,4658,399
2021-08-24,3.1,1761,"Run",157,4707,410
2021-08-22,2.42,2756,"Walk",133,4938,357
2021-08-21,1.63,1825,"Walk",132,3306,224
2021-08-20,6.4,4016,"Run",148,10673,882
2021-08-18,3.27,1870,"Run",159,4958,427
2021-08-17,3.1,1868,"Run",144,4909,409
2021-08-16,3.1,1913,"Run",148,5065,419
2021-08-15,1.04,2851,"Walk",106,772,152
2021-08-14,1.78,2208,"Indoor Run / Jog",126,3755,351
2021-08-12,3.1,1880,"Run",156,5011,453
2021-08-11,3.1,1837,"Run",159,4849,424
2021-08-09,3.11,1893,"Run",145,5032,422
2021-08-08,1.01,1214,"Walk",121,2116,143
2021-08-07,1.8,2077,"Walk",120,3700,266
2021-08-05,0.83,1053,"Walk",118,1709,125
2021-08-04,3.12,1888,"Run",155,5010,418
2021-08-03,1.99,2338,"Walk",109,3767,284
2021-08-02,0.73,1182,"Walk",114,1529,112
2021-08-01,2.07,2242,"Walk",131,4051,280
2021-07-29,3.62,2310,"Run",162,6041,512
2021-07-17,3.1,1798,"Run",149,4776,414
2021-07-11,1.97,2061,"Walk",109,3809,275
2021-07-08,3.1,1850,"Run",158,4894,406
2021-07-06,3.11,1895,"Run",155,5029,402
2021-07-03,2.6,1555,"Run",161,4128,337
2021-07-01,3.11,1945,"Run",159,5139,427
2021-06-29,3.11,1866,"Run",156,4916,407
2021-06-25,3.1,1669,"Indoor Run / Jog",149,6859,403
2021-06-21,2.43,1796,"Run",139,4016,334
2021-06-15,4.3,2531,"Run",162,6368,518
2021-06-14,3.1,1815,"Run",154,4781,393
2021-06-12,3.17,3545,"Run",125,6108,491
2021-06-10,3.32,3165,"Run",135,5680,485
2021-06-06,4.49,4611,"Run",118,8019,592
2021-06-05,3.97,4023,"Run",119,6954,541
2021-06-04,2.24,1267,"Run",153,3388,285
2021-06-02,3.1,1897,"Run",149,5012,423
2021-05-31,3.13,2433,"Run",133,5499,411
2021-05-27,1.99,1025,"Run",169,2713,261
2021-05-26,4.85,5638,"Run",149,4317,474
2021-05-06,3.1,1821,"Run",149,4831,416
2021-05-02,4.06,3623,"Run",148,7027,634
2021-04-26,5,3002,"Run",156,8118,674
2021-04-24,10,6605,"Run",152,17517,1471
2021-04-21,13.48,10191,"Run",144,22719,1928
2021-04-19,8.55,5659,"Run",159,14495,1264
2021-04-18,3.1,1605,"Run",149,4314,404
2021-04-17,2,1065,"Run",149,2854,260
2021-04-16,3.1,1948,"Run",149,5135,427
2021-04-14,3.1,1776,"Run",149,4723,412
2021-04-12,1.88,4911,"Run",100,3534,399
2021-04-09,0.77,447,"Run",131,1199,110
2021-04-06,3.1,1778,"Run",165,4720,417
2021-04-04,3.1,1808,"Run",149,4800,415
2021-04-03,3.1,1874,"Run",149,4958,421
2021-04-01,2.8,1800,"Run",149,4735,389
2021-03-31,4.46,3355,"Run",149,7762,597
2021-03-27,3.19,2053,"Indoor Run / Jog",149,7058,444
2021-03-23,2.66,1830,"Run",152,4449,369
2021-03-21,4.36,3386,"Run",148,7572,621
2021-03-20,4.97,3969,"Run",149,8713,744
2021-03-18,2.9,1800,"Indoor Run / Jog",149,6417,398
2021-03-17,4.14,2619,"Run",164,6998,616
2021-03-16,3.11,2134,"Run",158,5416,498
2021-03-14,3.11,2352,"Run",149,6103,416
2021-03-13,3.1,2476,"Run",149,6398,400
2021-01-12,3.1,1745,"Run",149,4649,410
2021-01-10,3.1,1766,"Run",149,4700,411
2021-01-09,3.1,1809,"Run",149,4802,415
2021-01-02,3.12,1749,"Run",149,4662,412
2020-12-27,3.15,2491,"Run",149,5378,410
2020-12-06,4.02,2358,"Run",149,8895,539
2020-11-28,3.1,1674,"Run",149,6859,403
2020-11-23,6.2,3733,"Run",157,10044,841
2020-11-22,3.34,1800,"Run",149,4818,434
2020-11-21,7.5,4183,"Run",149,9761,987
2020-11-19,3.1,1632,"Run",149,4379,403
2020-11-17,6.19,4204,"Run",149,11005,881
2020-11-04,6.06,3678,"Run",164,9863,866
2020-11-03,4.5,2640,"Machine Workout",149,9957,304
2020-11-01,3.1,1721,"Run",149,4592,407
2020-10-31,3.1,1581,"Run",149,4257,402
2020-10-30,2.5,1695,"Run",149,4438,355
2020-10-16,10.88,7059,"Run",149,18553,1519
2020-10-15,3.1,1840,"Run",149,4980,418
2020-10-11,6.58,5424,"Run",127,11855,813
2020-10-09,6.47,3600,"Run",149,9603,851
2020-10-08,3.85,2065,"Run",144,5697,482
2020-10-07,6.98,3600,"Run",149,9681,909
2020-10-06,4,2207,"Run",149,5892,525
2020-10-04,3.1,1501,"Run",149,4066,395
2020-10-03,4.29,2391,"Run",155,6455,552
2020-10-01,5,2688,"Run",149,7196,649
2020-09-29,6.01,4734,"Run",149,10584,782
2020-09-28,4.02,2138,"Run",164,5806,521
2020-09-26,6.94,3600,"Run",149,9675,903
2020-09-25,6.71,3601,"Run",149,9642,872
2020-09-23,10.06,5537,"Run",149,14787,1318
2020-09-21,3.1,1446,"Run",149,3934,387
2020-09-20,5.17,3460,"Run",146,8503,513
2020-09-17,3.01,1807,"Run",149,4784,408
2020-09-16,6.14,3600,"Run",149,9552,824
2020-09-14,6.78,3600,"Run",149,9651,881
2020-09-13,3.1,1537,"Run",149,4152,398
2020-09-10,10.07,5391,"Run",149,14439,1308
2020-09-07,3.1,1749,"Run",163,4696,337
