screen_name,text,location,latitude,longitude
RealDaveRaines,"@JoeBiden If the senate majority mattered to codify roe v wade couldn't you already do it? 

After all you control… https://t.co/tQgiMR5zE6",3rd 🪨 from the 🌞,51.7172632,-0.0336376
Amber_Rain_1776,"@BetoORourke Again, Roe vs Wade, look it up ! A damn lie, she told the truth before her death. Dipshit !",Los Angeles ! unfortunately ,,
fabMab915,This is going to get worse if the GOP get the Senate. People need to wake the hell up! If overturning Roe V Wade wa… https://t.co/K3scGgAh5R,"El Paso, TX",31.7600372,-106.487287
Leeebertarian,"@JoeBiden You can codify Roe now, Repubs already offered up a replacement nearly identical and Democrats shot it do… https://t.co/P7HvSXPGgC",Everywhere,52.1366141,-0.4694972
HerLaptop112,"ATTN DEMS
The gop maga lost their momentum the minute they overturned Roe &amp; don't let anybody tell u differently.… https://t.co/hbN4jJyyB8",New York,40.7306458,-73.9866136
IAmYourNextGen,"@TheRickWilson I know.. And against a guy who was campaigning to over turn Roe v Wade in 2016.

Chek the history. O… https://t.co/phCHruzmyK",Your Mom,49.7437211,-123.0855881
coolmomxiv,@roefizzlebeef OK SO is roe/thyme's relationship spurred by the fact that WoL + Hydaelyn dynamic? or did venat only… https://t.co/HDS6DaNthM,Pearl lane,51.3966398,0.5566751
AnarchyAutistic,"@CmonManAktion @JoeBiden I'm not being naive, I know full well they're all full of shit and they won't codify Roe e… https://t.co/ng7MbEen1E",behind you,44.4450757,-68.9994788
jkerr190,@AmoneyResists Do you read? If you do I suggest you read the ruling that the Supreme Court handed down on Roe v Wad… https://t.co/3qjlGW9ntM,Atlanta Ga,33.7490987,-84.3901849
coolmomxiv,@roefizzlebeef sorry babygirl roe but only specifically and exclusively for thyme (maybe fray but mostly thyme),Pearl lane,51.3966398,0.5566751
missplott,@RobertGehrke I was disappointed with Evan’s response on Roe… he had the chance to really stand up for women’s heal… https://t.co/sHGc80sAax,Utah,39.4225192,-111.7143584
Floridaner,The comments lmao “whAt abOuT DeMOcRaCy anD RoE????!!!!”,"Tampa Bay, FL",27.6886419,-82.5723193
coolmomxiv,@roefizzlebeef when roe heard hear feel listen think (fish) was it thyme's voice???,Pearl lane,51.3966398,0.5566751
sookiesmom2021,"@IAmPoliticsGirl Roe, Roe, Roe your vote. 💙 https://t.co/KIkz9sj5Hn","Cow pasture, #Roevember",,
iooooooooooiuu,"@Aardvarkitus @ReverendWarnock Show me a direct quote of a conservative justice pledging not to overturn ROE. 

(Yo… https://t.co/VVNZiAGSfw",Los Pollos Hermanos,-36.7372276,-72.9955666
ABC7Amarillo,"In a recent article criticizing the reversal of Roe v. Wade, a contributor for The Boston Globe wrote that she had… https://t.co/CkJWbOEydy","Amarillo, Texas",35.2072185,-101.8338246
Wargamepainter1,"@FredGiuffrida I'm am still very furious about Roe, about Uvalde, about January 6th, about the lies, about Trumperi… https://t.co/h9pFL0me97",US #BlackLivesMatter #LGBTAlly,,
Coop_tweets,@JoeBiden Joe stop lying to the people. You will never codify Roe v. Wade. You had literal decades to do it and sev… https://t.co/4ovZoKVV2M,Southern California,34.0224149,-118.286344073446
BobCongdon51,@SenWarren No you don't. They've had decades to codify Roe and have done nothing whatsoever. Democratic inaction sp… https://t.co/xRCTi0iXI4,3rd rock from the sun,33.3947776,-104.523005
roefizzlebeef,@coolmomxiv venat remembered her because she n roe both went to elpis during EW :) thyme got pulled along too when… https://t.co/mrh4OD9Tad,h: @banana_qote i: @Stick_xiv,,
Whatfinger1,"LEE: ""You used to agree with me that Roe v. Wade was really wrong. You went on #MSNBC a few months ago, and you def… https://t.co/Q6IcgC7yfd","Dallas, Texas",32.7762719,-96.7968559
HamanoNagaharu,"America is readier than ever to see an end to Roe Baby supplies, housing,",Mexico,19.4326009,-99.1333416
Pamela_M47,"@BlueWest18 @SimonWDC My niece registered as soon as Roe was overturned, unfortunately she doesn’t turn 18 until th… https://t.co/vDriHXYAcl","Washington, USA",38.8949549,-77.0366456
roefizzlebeef,"@coolmomxiv venat loved both of them really (roe’s azem was venat’s successor and friend, and they got along super… https://t.co/ZbCsxdhaf6",h: @banana_qote i: @Stick_xiv,,
Pamela_M47,"@BlueWest18 @SimonWDC My niece registered as soon as Roe was overturned, unfortunately she doesn’t turn 18 until th… https://t.co/xaGGF43Kbw","Washington, USA",38.8949549,-77.0366456
coolmomxiv,@roefizzlebeef venat + thyme watching azem + roe suplex a really big fish n being like ah they ARE the same,Pearl lane,51.3966398,0.5566751
TruBluBrewCru,"@KathleenHooks9 @WalshFreedom 70% of the country supported Roe.  
It isn't because we want it to be the issue, IT JUST IS.",Wisconsin,44.4308975,-89.6884637
PatrickDillon71,"@CurryHicksSage @TonyPatelis @MarcusCamby23 Let me know when we get to Lou Roe, then derek Kellogg days. Then travieso.","Philadelphia, PA",39.9523993,-75.1635899
GingerTSchott,@DCelesteSpencer @morebetje20 I know that 3 out of 4 voters in my house are more concerned about roe and other righ… https://t.co/8PmiC1rafQ,"Port Jervis, NY",41.3750937,-74.692663
rclendan,@morethanmySLE I hope he over-performs the polls. Let's hope Roe voters push the envelope.,"Maryland, USA",39.5162234,-76.9382069
MidwestHedgie,"@epnohelty @DemRacism @sueonthetown @chrislhayes even before Roe was repealed, there are 0 purely elective abortion… https://t.co/TQn96LtIxm","the Great Lakes, USA",42.3091892,-87.8500708
TeamEleni,The overturning of Roe has made who we elect to the state legislature more important than ever before. I will remai… https://t.co/fo7aM6BCTq,"Avon, CT",41.8098209,-72.8306541
cmsnice_com,The Road to ROI is ROE - https://t.co/NYchpn8me1,"Wisconsin, USA",44.4308975,-89.6884637
rose_robin,@SRuhle 23 weeks was the upper limit in Roe.,U.S. ,45.1895845,-88.73215845
ChiefsChicSTL,"Just got my Roe shirt in the mail!
#AbortionIsHealthcare
#RoevemberIsComing
#RoeRoeRoeYourVote https://t.co/hx6yWOuZO8","St Louis, MO",38.6337716,-90.2416548
NoForcedBirth,@huskerfalcon44 @ben_brown_md Abortion saved over one million American women's lives while Roe v Wade was in effect… https://t.co/rlEljJ3jy9,Southern California,34.0224149,-118.286344073446
DaltonTleighd,"Roe, Roe, Row your vote on November 8th. #mybodymychoice #yourvotematters  https://t.co/AzBqZq83F8","Knoxville, TN",35.9603948,-83.9210261
rkroeter,@SabadosaMA @ericswalwell Wow you must be a special kind of stupid! When did the Republicans overturn roe v Wade? T… https://t.co/1e9cOQc6kS,"St Louis, MO",38.6337716,-90.2416548
DailyCaller,Mike Lee is glad Roe v. Wade has been overturned. https://t.co/WVlnubncRs,"Washington, DC",38.8949549,-77.0366456
john_skogerboe,"@iafaf7 @Tim_Walz No. It is currently protected by a court case, similar to Roe v Wade. Similarly, it can be overtu… https://t.co/yyslKbA5eF","Minneapolis, MN",44.9772995,-93.2654692
john_skogerboe,"@Kattdd999 @Tim_Walz Nope. It is currently protected by a court case, similar to Roe v Wade. Similarly, it can be o… https://t.co/1XU2oJpyis","Minneapolis, MN",44.9772995,-93.2654692
dragonfire55555,@a49ersfreak @NYaldnif @ericswalwell Roe v Wade was Supreme court law &amp; precedent for nearly 30 years-it was a done… https://t.co/DkwuwZAVDE,United States,39.7837304,-100.4458825
karamichele1125,@FredGiuffrida Not@me especially about Roe but Americans are so short-sided so it is possible,"Colorado, USA",38.7251776,-105.6077167
john_skogerboe,"@sr_seymore @Tim_Walz No. It is currently protected by a court case, similar to Roe v Wade. Similarly, it can be ov… https://t.co/5j2jRwkRtV","Minneapolis, MN",44.9772995,-93.2654692
john_skogerboe,"@MNSotaCracker @Tim_Walz @GovTimWalz No. It is currently protected by a court case, similar to Roe v Wade. Similarl… https://t.co/3bzw2tLZWY","Minneapolis, MN",44.9772995,-93.2654692
maschlaggy,@epnohelty @MidwestHedgie @DemRacism @sueonthetown @chrislhayes It's called Roe v Wade,P-town,16.4616552,120.587469
DavidWetherell,"Regarding overturning of Roe v Wade:

""I think I was hysterical, because what I thought about was all the children… https://t.co/8p7r384bB2",UK,54.7023545,-3.2765753
Concerned_Mom22,@monica4congress It seems your love for Trump ended after Roe was overturned and the Jan 6 hearings kicked off. ???🤷‍♀️@RepGonzalez,Texas,31.8160381,-99.5120986
laurielew1966,@Dashagirl8 @LvilleCards @CharlieCrist Many said they would never overturn Roe. They are telling us their plans and… https://t.co/C6dVQ3tNwk,"Massachusetts, USA",42.3788774,-72.032366
murphyb849,@tbonier @TheDemCoalition Literal Democracy and Roe are on the ballot. https://t.co/XNMPsJLrcT,Southern NJ,40.797846,-74.226743
