screen_name,text,location,latitude,longitude
SWIMIndivisible,"Mad about Roe v Wade being overturned? I am.

Let's text unregistered likely Democrats in Wisconsin who support abo… https://t.co/JnkXQE43OA",Michigan,43.6211955,-84.6824346
erictaylorphd,"Watch the video.  Hobbs is protecting against bans. The middle ground would, like Roe, require in law bans on late… https://t.co/kNepdPyZgV",Milwaukee WI,43.0349931,-87.922497
harrisburgers,"Just In: Lawmakers differ on impact of Roe v. Wade on November races in Pennsylvania - CBS Pittsburgh

#harrisburg… https://t.co/fofMrk2RYD","Harrisburg, PA",40.2663107,-76.8861122
LindaVT,@BriannaWu Watch those numbers skyrocket now that Roe is gone.,"Manchester, VT ",43.1610955,-73.0716347790595
martyschladen,"When a conservative majority of SCOTUS overturned Roe v Wade, it talked a lot about what abortion laws were in 1868… https://t.co/nDZx11tByn","Columbus, OH",39.9622601,-83.0007065
asweetgrace,I think the @GOP vastly underestimates how pissed off the women of this country are after Roe was overturned. We di… https://t.co/OQRJQX0xlh,Philadelphia,39.9523993,-75.1635899
joimbow,REPUBLICANS HAVE GUTTED ROE AND THEY PLAN TO CREATE A NATION WIDE BAN ON ABORTIONS AS SOON AS THEY CAN.,"New York, N. Y.",40.7306458,-73.9866136
SWK1892,"@joncoopertweets Well in that case you've lost on abortion. You had the Clintons, Obamas, Biden's, AOC and you still lost Roe. It's over.",Go Big Red State,41.14151635,-95.9323242751456
NAMAtheGrandma,It's coming! Roe-vember 8th! https://t.co/9oFZyKLqDA,"Michigan, USA",43.6211955,-84.6824346
ShiffrinJoyce,Roe v. Wade Was Overturned. Demand Congress Protect Reproductive Rights! #care2 https://t.co/UFx5FCMcIT,"Brooklyn, NY",40.6501038,-73.9495823
jimbojimbo,@DouthatNYT You mean almost Roe? When people with extreme views get what they are willing to kill for they realize… https://t.co/joiEbzzhGd,"Baltimore, MD",39.2908816,-76.610759
tryon_bullletin,"The Tryon Garden Club will host a presentation featuring Kieran Roe of Conserving Carolina titled “Protecting, Rest… https://t.co/XkzXtN0v9L","Tryon, NC",35.2081695,-82.2384479
Buntybuya,‘Am I a Felon?’ The Fall of Roe v. Wade Has Permanently Changed the Doctor-Patient Relationship https://t.co/1swgSVTfFF,Switzerland,46.7985624,8.2319736
Vote_4Change,"Hey Pro Roe fighters please RT.... election day 22 days away #VOTE #GOTVBlue 

For all states fighting to elect Dem… https://t.co/FVN5GlYl8t",USA,39.7837304,-100.4458825
Sloot2070,@SusanLeigh11 @abbydphillip @barney1776 @nytimes Big Corp Media is not covering Roe.  They are asking questions abo… https://t.co/jaAM87r8nt,"Parker , CO",39.5184514,-104.7612638
tearec,@Grand_handsomer Had this very discussion in another group. Overturning Roe had been a goal for like 30 years. So w… https://t.co/aG5rMP3a9m,"Phoenix, AZ",33.4485866,-112.0773456
FreeBeacon,"Raphael Warnock is focused on abortion in the final weeks of the campaign, gambling that the overturning of Roe v.… https://t.co/GjWQiFQN6q",United States,39.7837304,-100.4458825
canape,"Roe isn’t the only thing on the ballot in November. If you care about Social Security and Medicare, then do your pa… https://t.co/V6pBxYdJEB","Raleigh, NC",35.7803977,-78.6390989
qz,It’s not too late to address Roe v. Wade with your employees—here’s how https://t.co/H7TXT7hZGx,The World,38.89412085,-77.0229466193185
ChicagoJohnnyV,"@DiamondandSilk It got worse. Because of the Dodd ruling that voided Roe v Wade.

It got worse. Because of Republic… https://t.co/NOCRC2PhTd",The Void,48.5914619,6.5912872
614_226,@myself4_a This crap right here is why roe is gone,"Columbus, OH",39.9622601,-83.0007065
twistsmom,@violetscrawley @myself4_a He's anti-abortion FFS.  He would vote against Roe V Wade.,"Napa Valley, CA",47.612248,-52.7231595477482
RethinkingEve,"@SenBlumenthal Demand #Biden #PublishERA Senator 

Can’t codify #Roe w/out #ERA 

#WomenAreNotStupid 

Both parties… https://t.co/0HKiFouF0c","Darien, CT, USA",41.0787079,-73.4692873
FreeBeacon,"NEW: Mandela Barnes is focused on abortion in the final weeks of the campaign, gambling that the overturning of Roe… https://t.co/2qa66Wtjb4",United States,39.7837304,-100.4458825
reallynottrmpy,@RockyMountViews @Ellenleigh3 And just like roe they say it all the time,Upstate NY,43.0408333,-76.1391667
NeilAxelrod,"@Shane946820551 @gretchenwhitmer And if the Democrats want to blame anyone, blame the Burger court for getting Roe… https://t.co/EGSZQSRsN0","Georgia, USA",32.3293809,-83.1137366
spazmorat,@ddale8 Fact check: Roe v. Wade was settled law until Republicans took over the Supreme Court by lying about Roe v.… https://t.co/oHahCDuDs8,"Long Beach, CA",44.4567705,-78.7359702
DougShootsStr8,@Chot2468Rivers @georgiagirl271 @ananavarro Can you say Roe?,"Pennsylvania, USA",40.9699889,-77.7278831
theinkedknight,"@fsweichsel @DanteOlivia Because the media follows what people want to talk about. Since Roe, people care less about crime","New York, NY",40.7306458,-73.9866136
twistsmom,@myself4_a @violetscrawley So what if they try to codify Roe V Wade and Henry Cuellar votes against it?,"Napa Valley, CA",47.612248,-52.7231595477482
Mavricks_pops,"@MaryPeltola If you’re talking about Roe vs Wade, then you’re being dishonest or uninformed. They said it was not a… https://t.co/ZS6M0LggJD","Alton, MO",36.6942252,-91.3993039
phds2,VOTE FOR DEMOCRACY! Vote for ROE!  Vote for the future of our planet! Vote for Social Security and Medicare! Vote t… https://t.co/MmYv6LPelH,"Berkeley, CA",44.3669375,-80.7272504
Gray0005,"The Dems hoped anger at Roe would eclipse failures on $15, PROAct, inflation. A new #Midterm poll found GOP has ""di… https://t.co/106LUNuXv1","Minneapolis, MN",44.9772995,-93.2654692
vsehc,"Supreme Court overturned Roe, and now reviewing voter rights case to shift more towards the states. Potentially ove… https://t.co/0sxawXL05o","Michigan, USA",43.6211955,-84.6824346
Tresse007,@GoodPoliticGuy Roe was their life raft. Seems like the air has come out.,Maryland,39.5162234,-76.9382069
JoeyIdeaJones,Pretty sure SCOTUS announced the anti-choice Roe decision when they did because they know what I only suspected: mo… https://t.co/euQAQTyKXl,"California, USA",36.7014631,-118.7559974
Queen0Hartz,"@PalmerReport After overturning Roe v Wade, the Repubes have handed the midterms over to the Democrats on a silver platter",SoCal 🌞🌊⛱,33.9192963,-117.873064562512
MarlaWolf,#ContractWithWomen sounds great. Need better and more childcare options. Need to codify Roe and access to contracep… https://t.co/McaPOxT4L6,"Fort Wayne, IN",41.0799898,-85.1386015
RIGHTtoCONSENT,Fact: RWNJ SCOTUS members who overturned ROE &amp; Republicans enacting state laws causing PREVENTABLE DEATHS of pregna… https://t.co/ZFYPKBsoKW,Texas,31.8160381,-99.5120986
ScrivTheBard,"@StephCampb7 @DungeonGlitch Today?

Pocket change, doggie poop bags, and an origami dragon made from notebook paper named Roe.",Belgium,50.6407351,4.66696
BigDuckAgain,"Obama says Roe v. Wade made ‘a lot of voters complacent’

https://t.co/AVixA4wTVG","California, USA",36.7014631,-118.7559974
duxsi,@RonFilipkowski This is why Roe vs. Wade was so damn important...,Planet Earth ,14.3601126,100.5772104
RIGHTtoCONSENT,Fact: RWNJ SCOTUS members who overturned ROE &amp; Repubs enacting state laws causing PREVENTABLE DEATHS of pregnant wo… https://t.co/iK4h0625Sz,Texas,31.8160381,-99.5120986
