Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Dad,www,playback,/browse,/watch/81150342?trackId=14170286&tctx=1%2C0%2C942833b3-adf4-405f-b720-1b37eb8b7012-94081902%2C64725a13-5a18-4676-a540-04b4fe312061_21034682X3XX1648528259316%2C64725a13-5a18-4676-a540-04b4fe312061_ROOT%2C%2C%2C,2022-03-29 04:43:40
Dad,www,playback,/watch/81150342?trackId=14170286&tctx=1%2C0%2C942833b3-adf4-405f-b720-1b37eb8b7012-94081902%2C64725a13-5a18-4676-a540-04b4fe312061_21034682X3XX1648528259316%2C64725a13-5a18-4676-a540-04b4fe312061_ROOT%2C%2C%2C,/watch/81150343?trackId=14170286,2022-03-29 04:43:40
Dad,www,browseTitles,/title/80236236,/browse,2022-03-29 04:31:11
Dad,www,playback,/browse,/watch/81150342?trackId=14170286&tctx=1%2C0%2C942833b3-adf4-405f-b720-1b37eb8b7012-94081902%2C64725a13-5a18-4676-a540-04b4fe312061_21034682X3XX1648528259316%2C64725a13-5a18-4676-a540-04b4fe312061_ROOT%2C%2C%2C,2022-03-29 04:31:11
Dad,www,movieDetails,,/title/80236236,2022-03-29 04:31:00
Dad,www,browseTitles,/title/80236236,/browse,2022-03-29 04:31:00
Dad,www,profilesGate,,/title/80236236,2022-03-29 04:30:58
Dad,www,browseTitles,,/title/80236236,2022-03-29 04:30:58
Dad,www,playback,/watch/81150340?trackId=14170286,/watch/81150341?trackId=155573559,2022-03-27 17:26:36
Dad,www,playback,/watch/81150341?trackId=155573559,/watch/81150342?trackId=155573559,2022-03-27 17:26:36
Dad,www,playback,/watch/80226542?trackId=14170286,/watch/81150340?trackId=14170286,2022-03-27 16:31:51
Dad,www,playback,/watch/81150340?trackId=14170286,/watch/81150341?trackId=155573559,2022-03-27 16:31:51
Dad,www,playback,/watch/80177342?trackId=14170286&tctx=2%2C0%2C605058d4-9486-4a9a-aeae-c1739960fad4-142603482%2C1ed660c3-4e20-45c0-ad1a-4dbe46479288_81803476X3XX1648395517275%2C1ed660c3-4e20-45c0-ad1a-4dbe46479288_ROOT%2C%2C%2C,/watch/80226542?trackId=14170286,2022-03-27 15:50:12
Dad,www,playback,/watch/80226542?trackId=14170286,/watch/81150340?trackId=14170286,2022-03-27 15:50:12
Dad,www,browseTitles,/watch/80185760?trackId=254015180&tctx=0%2C0%2C607bc9f6-06a9-4e30-82a9-d08c762bcd6a-105248262%2C09f1a439-93b9-449f-836a-f621627536bf_77581058X20XX1648339806833%2C09f1a439-93b9-449f-836a-f621627536bf_ROOT%2C%2C%2C,/browse,2022-03-27 15:38:50
Dad,www,playback,/browse,/watch/80177342?trackId=14170286&tctx=2%2C0%2C605058d4-9486-4a9a-aeae-c1739960fad4-142603482%2C1ed660c3-4e20-45c0-ad1a-4dbe46479288_81803476X3XX1648395517275%2C1ed660c3-4e20-45c0-ad1a-4dbe46479288_ROOT%2C%2C%2C,2022-03-27 15:38:50
Dad,www,playback,/browse,/watch/80177342?trackId=14170286&tctx=2%2C0%2C605058d4-9486-4a9a-aeae-c1739960fad4-142603482%2C1ed660c3-4e20-45c0-ad1a-4dbe46479288_81803476X3XX1648395517275%2C1ed660c3-4e20-45c0-ad1a-4dbe46479288_ROOT%2C%2C%2C,2022-03-27 15:38:50
