Start Time (UTC),Positivity,Energy,Duration (ms),Sequence,Positivity/Energy Bin,Descriptors
2021-09-24T16:10:03.0Z,48,44,1520.0,0.0,Neutral,"[focused, interested, calm]"
2021-09-24T16:10:05.0Z,50,41,2510.0,0.0,Neutral,"[calm, restrained, focused]"
2021-09-24T16:10:18.0Z,51,37,2180.0,0.0,Neutral,"[calm, focused, restrained]"
2021-09-24T16:10:26.0Z,50,47,4670.0,0.0,Neutral,"[focused, calm, interested]"
2021-09-24T16:10:36.0Z,48,46,2530.0,0.0,Neutral,"[focused, calm, restrained]"
2021-09-24T16:10:39.0Z,51,47,2210.0,0.0,Neutral,"[focused, interested, knowledgeable]"
2021-09-24T15:49:46.0Z,52,49,2820.0,0.0,Neutral,"[focused, interested, knowledgeable]"
2021-09-24T15:49:49.0Z,50,48,8050.0,0.0,Neutral,"[hesitant, unconfident, skeptical]"
2021-09-24T15:50:15.0Z,53,48,6200.0,0.0,Neutral,"[focused, interested, content]"
2021-09-24T15:50:22.0Z,48,46,2540.0,0.0,Neutral,"[hesitant, focused, restrained]"
2021-09-24T15:50:25.0Z,51,46,2800.0,0.0,Neutral,"[focused, interested, knowledgeable]"
2021-09-24T15:40:32.0Z,52,49,8010.0,0.0,Neutral,"[focused, interested, knowledgeable]"
2021-09-24T15:40:43.0Z,55,47,1800.0,0.0,Neutral,"[polite, interested, curious]"
2021-09-24T15:40:46.0Z,51,35,1340.0,0.0,Neutral,"[calm, restrained, bored]"
2021-09-24T15:39:42.0Z,48,48,8340.0,0.0,Neutral,"[interested, skeptical, curious]"
2021-09-24T15:39:53.0Z,47,45,2710.0,0.0,Neutral,"[hesitant, unconfident, skeptical]"
2021-09-24T15:40:03.0Z,48,47,1290.0,0.0,Neutral,"[focused, calm, restrained]"
2021-09-24T15:40:06.0Z,49,48,1710.0,0.0,Neutral,"[focused, calm, relaxed]"
2021-09-24T15:40:08.0Z,52,49,1990.0,0.0,Neutral,"[curious, skeptical, interested]"
2021-09-24T15:40:11.0Z,51,47,3160.0,0.0,Neutral,"[confident, knowledgeable, focused]"
2021-09-24T15:40:16.0Z,52,48,3910.0,0.0,Neutral,"[focused, interested, calm]"
2021-09-24T15:40:22.0Z,62,48,1280.0,0.0,Neutral,"[polite, warm, appreciative]"
2021-09-24T15:30:45.0Z,51,39,1180.0,0.0,Neutral,"[hesitant, calm, restrained]"
2021-09-24T15:29:20.0Z,50,37,2500.0,0.0,Neutral,"[calm, restrained, relaxed]"
2021-09-24T15:29:44.0Z,50,44,2940.0,0.0,Neutral,"[focused, interested, calm]"
2021-09-24T15:29:56.0Z,52,47,3160.0,0.0,Neutral,"[focused, interested, knowledgeable]"
2021-09-24T15:30:02.0Z,52,46,3500.0,0.0,Neutral,"[focused, interested, calm]"
2021-09-24T15:30:12.0Z,51,46,4260.0,0.0,Neutral,"[focused, interested, knowledgeable]"
2021-09-24T15:30:20.0Z,51,37,3640.0,0.0,Neutral,"[calm, restrained, relaxed]"
2021-09-24T15:30:30.0Z,50,47,2930.0,0.0,Neutral,"[focused, interested, calm]"
2021-09-24T15:19:36.0Z,51,42,2280.0,0.0,Neutral,"[calm, focused, restrained]"
2021-09-24T15:19:39.0Z,50,44,1110.0,0.0,Neutral,"[focused, calm, relaxed]"
2021-09-24T15:19:45.0Z,50,38,1990.0,0.0,Neutral,"[calm, restrained, hesitant]"
2021-09-24T15:19:48.0Z,47,41,2260.0,0.0,Neutral,"[calm, restrained, focused]"
2021-09-24T15:19:50.0Z,51,44,1020.0,0.0,Neutral,"[calm, focused, interested]"
2021-09-24T15:19:52.0Z,41,48,1150.0,0.0,Neutral,"[dismissive, stubborn, stern]"
2021-09-24T15:20:14.0Z,50,47,2780.0,0.0,Neutral,"[interested, focused, knowledgeable]"
2021-09-24T15:20:17.0Z,51,48,2890.0,0.0,Neutral,"[interested, focused, knowledgeable]"
2021-09-24T15:09:42.0Z,52,38,1920.0,0.0,Neutral,"[calm, relaxed, restrained]"
2021-09-24T15:09:52.0Z,49,41,3460.0,0.0,Neutral,"[calm, focused, balanced]"
2021-09-24T15:09:56.0Z,50,46,4520.0,0.0,Neutral,"[interested, focused, calm]"
2021-09-24T15:10:04.0Z,51,37,2050.0,0.0,Neutral,"[calm, focused, restrained]"
2021-09-24T15:10:17.0Z,51,49,2330.0,0.0,Neutral,"[focused, knowledgeable, interested]"
2021-09-24T15:10:21.0Z,51,47,2180.0,0.0,Neutral,"[focused, interested, calm]"
2021-09-24T15:10:30.0Z,51,48,1140.0,0.0,Neutral,"[focused, knowledgeable, confident]"
2021-09-24T15:10:31.0Z,48,48,1940.0,0.0,Neutral,"[focused, calm, confident]"
2021-09-24T15:10:34.0Z,50,47,2330.0,0.0,Neutral,"[focused, hesitant, interested]"
2021-09-24T15:10:40.0Z,50,48,3870.0,0.0,Neutral,"[focused, knowledgeable, interested]"
2021-09-24T15:10:50.0Z,53,47,1630.0,0.0,Neutral,"[focused, interested, calm]"
2021-09-24T15:09:30.0Z,54,34,1670.0,0.0,Calm,"[calm, shy, restrained]"
2021-09-24T14:59:30.0Z,53,48,1910.0,0.0,Neutral,"[focused, interested, relaxed]"
2021-09-24T14:40:42.0Z,51,48,2400.0,0.0,Neutral,"[focused, knowledgeable, confident]"
2021-09-24T14:40:44.0Z,49,48,3640.0,0.0,Neutral,"[focused, interested, hesitant]"
2021-09-24T14:39:38.0Z,52,49,1650.0,0.0,Neutral,"[curious, skeptical, interested]"
2021-09-24T14:40:19.0Z,73,55,2130.0,0.0,Happy,"[satisfied, appreciative, delighted]"
2021-09-24T14:40:26.0Z,73,53,2930.0,0.0,Happy,"[satisfied, appreciative, content]"
2021-09-24T14:10:15.0Z,50,47,3000.0,0.0,Neutral,"[hesitant, unconfident, interested]"
2021-09-24T14:09:47.0Z,52,46,5810.0,0.0,Neutral,"[focused, interested, knowledgeable]"
2021-09-24T14:09:56.0Z,51,45,1060.0,0.0,Neutral,"[focused, calm, confident]"
2021-09-24T14:10:00.0Z,50,41,2270.0,0.0,Neutral,"[focused, calm, restrained]"
2021-09-24T13:39:47.0Z,51,45,5110.0,0.0,Neutral,"[interested, focused, calm]"
2021-09-24T13:40:12.0Z,59,48,4570.0,0.0,Neutral,"[polite, satisfied, appreciative]"
2021-09-24T11:49:03.0Z,50,31,1670.0,0.0,Sad,"[calm, restrained, bored]"
2021-09-24T03:19:44.0Z,50,48,3970.0,0.0,Neutral,"[knowledgeable, confident, focused]"
2021-09-24T03:09:30.0Z,56,49,3270.0,0.0,Neutral,"[confident, interested, focused]"
2021-09-24T02:41:04.0Z,53,50,1830.0,0.0,Neutral,"[focused, overbearing, caring]"
2021-09-24T02:39:44.0Z,51,51,1230.0,0.0,Neutral,"[confident, focused, overbearing]"
2021-09-24T02:39:59.0Z,51,47,1910.0,0.0,Neutral,"[focused, interested, calm]"
2021-09-24T02:40:13.0Z,51,49,4270.0,0.0,Neutral,"[focused, interested, knowledgeable]"
2021-09-24T02:40:21.0Z,51,49,1770.0,0.0,Neutral,"[overbearing, focused, confident]"
2021-09-24T02:40:39.0Z,57,49,2080.0,0.0,Neutral,"[focused, interested, content]"
2021-09-24T02:30:41.0Z,50,48,1360.0,0.0,Neutral,"[focused, interested, confident]"
2021-09-24T02:30:45.0Z,57,51,2260.0,0.0,Neutral,"[focused, interested, hopeful]"
2021-09-24T02:30:51.0Z,53,46,2540.0,0.0,Neutral,"[focused, interested, relaxed]"
2021-09-24T02:29:40.0Z,51,49,2850.0,0.0,Neutral,"[focused, interested, curious]"
2021-09-24T02:29:46.0Z,42,46,1540.0,0.0,Neutral,"[unconfident, hesitant, uncomfortable]"
2021-09-24T02:29:52.0Z,47,48,2910.0,0.0,Neutral,"[hesitant, apologetic, polite]"
2021-09-24T02:29:58.0Z,47,46,1420.0,0.0,Neutral,"[calm, disinterested, relaxed]"
2021-09-24T02:30:07.0Z,51,45,1740.0,0.0,Neutral,"[focused, calm, relaxed]"
2021-09-24T02:30:09.0Z,47,47,1130.0,0.0,Neutral,"[skeptical, curious, confused]"
2021-09-24T02:20:39.0Z,50,48,2190.0,0.0,Neutral,"[focused, interested, knowledgeable]"
2021-09-24T02:19:47.0Z,55,54,2310.0,0.0,Neutral,"[interested, focused, curious]"
2021-09-24T02:20:06.0Z,52,48,1360.0,0.0,Neutral,"[focused, relaxed, calm]"
2021-09-24T02:10:27.0Z,50,47,3210.0,0.0,Neutral,"[focused, interested, calm]"
