Start Time (UTC),End Time (UTC),Phone Model,App Version,OS,OS Version,Session Subtype,Positivity,Energy,Number of Utterances,Descriptors,Overall Positivity/Energy Bin,Positivity/Energy Bin Distribution,Amount of Speech (ms),Utterance Start Times
2021-09-24T15:19:22.0Z,2021-09-24T15:20:52.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,49,44,8,"[focused, calm, interested]",Neutral,"[Happy - 0, Calm - 0, Neutral - 8, Sad - 0, Angry - 0]",90000.0,"[2021-09-24T15:19:36.0Z, 2021-09-24T15:19:39.0Z, 2021-09-24T15:19:45.0Z, 2021-09-24T15:19:48.0Z, 2021-09-24T15:19:50.0Z, 2021-09-24T15:19:52.0Z, 2021-09-24T15:20:14.0Z, 2021-09-24T15:20:17.0Z]"
2021-09-24T15:09:25.0Z,2021-09-24T15:10:50.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,51,45,12,"[focused, calm, interested]",Neutral,"[Happy - 0, Calm - 1, Neutral - 11, Sad - 0, Angry - 0]",85000.0,"[2021-09-24T15:09:42.0Z, 2021-09-24T15:09:52.0Z, 2021-09-24T15:09:56.0Z, 2021-09-24T15:10:04.0Z, 2021-09-24T15:10:17.0Z, 2021-09-24T15:10:21.0Z, 2021-09-24T15:10:30.0Z, 2021-09-24T15:10:31.0Z, 2021-09-24T15:10:34.0Z, 2021-09-24T15:10:40.0Z, 2021-09-24T15:10:50.0Z, 2021-09-24T15:09:30.0Z]"
2021-09-24T14:59:27.0Z,2021-09-24T14:59:34.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,53,48,1,"[focused, interested, relaxed]",Neutral,"[Happy - 0, Calm - 0, Neutral - 1, Sad - 0, Angry - 0]",7000.0,[2021-09-24T14:59:30.0Z]
2021-09-24T14:39:35.0Z,2021-09-24T14:40:35.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,59,50,5,"[appreciative, focused, curious]",Neutral,"[Happy - 2, Calm - 0, Neutral - 3, Sad - 0, Angry - 0]",60000.0,"[2021-09-24T14:40:42.0Z, 2021-09-24T14:40:44.0Z, 2021-09-24T14:39:38.0Z, 2021-09-24T14:40:19.0Z, 2021-09-24T14:40:26.0Z]"
2021-09-24T14:09:43.0Z,2021-09-24T14:10:30.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,51,45,4,"[focused, calm, hesitant]",Neutral,"[Happy - 0, Calm - 0, Neutral - 4, Sad - 0, Angry - 0]",47000.0,"[2021-09-24T14:10:15.0Z, 2021-09-24T14:09:47.0Z, 2021-09-24T14:09:56.0Z, 2021-09-24T14:10:00.0Z]"
2021-09-24T13:39:45.0Z,2021-09-24T13:40:17.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,55,47,2,"[appreciative, focused, calm]",Neutral,"[Happy - 0, Calm - 0, Neutral - 2, Sad - 0, Angry - 0]",32000.0,"[2021-09-24T13:39:47.0Z, 2021-09-24T13:40:12.0Z]"
2021-09-24T11:49:00.0Z,2021-09-24T11:49:06.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,50,31,1,"[bored, calm, restrained]",Sad,"[Happy - 0, Calm - 0, Neutral - 0, Sad - 1, Angry - 0]",6000.0,[2021-09-24T11:49:03.0Z]
2021-09-24T03:19:23.0Z,2021-09-24T03:20:53.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,50,48,1,"[focused, confident, knowledgeable]",Neutral,"[Happy - 0, Calm - 0, Neutral - 1, Sad - 0, Angry - 0]",90000.0,[2021-09-24T03:19:44.0Z]
2021-09-24T03:09:25.0Z,2021-09-24T03:10:55.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,56,49,1,"[focused, confident, interested]",Neutral,"[Happy - 0, Calm - 0, Neutral - 1, Sad - 0, Angry - 0]",90000.0,[2021-09-24T03:09:30.0Z]
2021-09-24T02:39:38.0Z,2021-09-24T02:40:51.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,52,49,6,"[focused, overbearing, interested]",Neutral,"[Happy - 0, Calm - 0, Neutral - 6, Sad - 0, Angry - 0]",73000.0,"[2021-09-24T02:41:04.0Z, 2021-09-24T02:39:44.0Z, 2021-09-24T02:39:59.0Z, 2021-09-24T02:40:13.0Z, 2021-09-24T02:40:21.0Z, 2021-09-24T02:40:39.0Z]"
2021-09-24T02:29:34.0Z,2021-09-24T02:30:38.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,50,48,9,"[focused, curious, interested]",Neutral,"[Happy - 0, Calm - 0, Neutral - 9, Sad - 0, Angry - 0]",64000.0,"[2021-09-24T02:30:41.0Z, 2021-09-24T02:30:45.0Z, 2021-09-24T02:30:51.0Z, 2021-09-24T02:29:40.0Z, 2021-09-24T02:29:46.0Z, 2021-09-24T02:29:52.0Z, 2021-09-24T02:29:58.0Z, 2021-09-24T02:30:07.0Z, 2021-09-24T02:30:09.0Z]"
2021-09-24T02:19:39.0Z,2021-09-24T02:20:36.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,53,50,3,"[focused, calm, interested]",Neutral,"[Happy - 0, Calm - 0, Neutral - 3, Sad - 0, Angry - 0]",57000.0,"[2021-09-24T02:20:39.0Z, 2021-09-24T02:19:47.0Z, 2021-09-24T02:20:06.0Z]"
2021-09-24T02:09:42.0Z,2021-09-24T02:11:06.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,52,47,4,"[appreciative, focused, calm]",Neutral,"[Happy - 0, Calm - 0, Neutral - 4, Sad - 0, Angry - 0]",84000.0,"[2021-09-24T02:10:27.0Z, 2021-09-24T02:10:45.0Z, 2021-09-24T02:10:00.0Z, 2021-09-24T02:10:07.0Z]"
2021-09-24T01:59:44.0Z,2021-09-24T02:01:10.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,54,47,11,"[curious, interested, unconfident]",Neutral,"[Happy - 0, Calm - 1, Neutral - 10, Sad - 0, Angry - 0]",86000.0,"[2021-09-24T02:00:10.0Z, 2021-09-24T02:00:12.0Z, 2021-09-24T02:00:14.0Z, 2021-09-24T02:00:30.0Z, 2021-09-24T02:00:44.0Z, 2021-09-24T02:00:48.0Z, 2021-09-24T02:00:51.0Z, 2021-09-24T01:59:45.0Z, 2021-09-24T01:59:49.0Z, 2021-09-24T01:59:53.0Z, 2021-09-24T01:59:59.0Z]"
2021-09-24T01:49:43.0Z,2021-09-24T01:51:03.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,60,47,4,"[amused, focused, hesitant]",Neutral,"[Happy - 0, Calm - 1, Neutral - 3, Sad - 0, Angry - 0]",80000.0,"[2021-09-24T01:50:52.0Z, 2021-09-24T01:51:09.0Z, 2021-09-24T01:49:49.0Z, 2021-09-24T01:50:35.0Z]"
2021-09-24T01:39:45.0Z,2021-09-24T01:41:05.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,51,47,8,"[focused, interested, skeptical]",Neutral,"[Happy - 0, Calm - 0, Neutral - 8, Sad - 0, Angry - 0]",80000.0,"[2021-09-24T01:40:33.0Z, 2021-09-24T01:40:37.0Z, 2021-09-24T01:40:41.0Z, 2021-09-24T01:40:51.0Z, 2021-09-24T01:41:10.0Z, 2021-09-24T01:40:05.0Z, 2021-09-24T01:40:09.0Z, 2021-09-24T01:40:17.0Z]"
2021-09-24T01:29:47.0Z,2021-09-24T01:30:58.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,52,48,10,"[focused, interested, skeptical]",Neutral,"[Happy - 0, Calm - 0, Neutral - 10, Sad - 0, Angry - 0]",71000.0,"[2021-09-24T01:30:27.0Z, 2021-09-24T01:30:35.0Z, 2021-09-24T01:30:43.0Z, 2021-09-24T01:30:48.0Z, 2021-09-24T01:31:00.0Z, 2021-09-24T01:29:54.0Z, 2021-09-24T01:29:58.0Z, 2021-09-24T01:30:00.0Z, 2021-09-24T01:30:12.0Z, 2021-09-24T01:30:13.0Z]"
