My Certifications,Organization,Concentration ,Skill 1,Skill 2,Organization URL,Type,START DATE,FINISH DATE,FINISH Date Goal,ReCertification Date,% COMPLETE,Status,URL,Exam & Training Cost,Exam Attempts,Total Costs,Funding Source, Additional Study Expenses ,Best Study Resource,Personal Expenses ,NOTES,Additional Study Resource,Additional Study Resource2
Excel Associate Certification,eLearning,Microsoft Excel,Microsoft Excel,,https://elearning.iact.ie/,Certification,8/1/2021,10/27/2021,,,100%,Done,https://elearning.iact.ie/skill/371445/qbgzCjeT, $-   ,1, $-   ,Self,,,,,,
Microsoft Power Bi Data Analyst,Microsoft ,Data Analysis,Power Bi,,https://docs.microsoft.com/en-us/learn/,Certification,9/9/2021,10/24/2021,,10/25/2023,100%,Done,https://www.microsoft.com/en-us/learning/dashboard.aspx,$160.00 ,3,$480.00 ,ESI,,,,,,
Azure Data Fundamentals,Microsoft ,Azure,Microsoft Data Platforms,,https://docs.microsoft.com/en-us/learn/,Certification,10/11/2021,10/18/2021,,,100%,Done,https://www.microsoft.com/en-us/learning/dashboard.aspx,$99.00 ,1,$99.00 ,ESI,,,,,,
Excel Apprentice Certification,eLearning,Microsoft Excel,Microsoft Excel,,https://elearning.iact.ie/,Certification,8/1/2021,10/17/2021,,,100%,Done,https://elearning.iact.ie/skill/371445/qbgzCjeT, $-   ,1, $-   ,Self,,,,,,
Microsoft Certified Trainer,Microsoft ,Training,Training,,https://docs.microsoft.com/en-us/learn/,Certification,10/7/2021,10/7/2021,,10/7/2022,100%,Done,https://www.microsoft.com/en-us/learning/dashboard.aspx,$800.00 ,1,$800.00 ,ESI,,,,,,
Power Platforms Fundamentals,Microsoft ,Microsoft Power Platforms,Microsoft Power Platforms,,https://docs.microsoft.com/en-us/learn/,Certification,9/27/2021,10/4/2021,,,100%,Done,https://www.microsoft.com/en-us/learning/dashboard.aspx,$99.00 ,1,$99.00 ,ESI,,,,,,
Lean Six Sigma Green Belt,SSGI,Lean Six Sigma,Lean Six Sigma,,https://www.6sigmacertificationonline.com/,Certification,8/1/2021,10/3/2021,,,100%,Done,https://courses.sixsigmaglobalinstitute.com/enrollments,$199.00 ,1,$199.00 ,ArmyIgnited,,,,,,
Lean Six Sigma Master Black Belt,SSGI,Lean Six Sigma,Lean Six Sigma,,https://www.6sigmacertificationonline.com/,Certification,8/1/2021,10/3/2021,,,100%,Done,https://courses.sixsigmaglobalinstitute.com/enrollments,$500.00 ,1,$500.00 ,ArmyIgnited,,,,,,
Teams Administrator,Microsoft ,Microsoft Teams,Microsoft Teams,,https://docs.microsoft.com/en-us/learn/,Certification,7/30/2021,9/13/2021,,9/13/2023,100%,Done,https://www.microsoft.com/en-us/learning/dashboard.aspx,$160.00 ,3,$480.00 ,ESI,,,,,,
365 Fundamentals,Microsoft ,Microsoft Office ,Microsoft Office,,https://docs.microsoft.com/en-us/learn/,Certification,8/1/2021,8/21/2021,,,100%,Done,https://www.microsoft.com/en-us/learning/dashboard.aspx,$99.00 ,1,$99.00 ,ESI,,,,,,
SHRM-CP,SHRM,Human Resources ,Human Resources,,https://shrm.org/,Certification,3/1/2021,6/28/2021,,5/31/2025,100%,Done,https://portal.shrm.org/,"$4,000.00 ",1,"$4,000.00 ",Proponent Funded,,https://learnhrm.partnerrc.com/am/@@login?camefrom=/am/%40%40summary,,,,
PMI-ACP,PMI,Agile,Agile,,https://www.pmi.org/,Certification,12/1/2021,,8/1/2022,,0%,,https://my.pmi.org/,$300.00 ,2,$600.00 ,ArmyIgnited,$150.00 ,,,ArmyIgnited Approval Pending 2/26,https://www.project-management-prepcast.com/pmi-acp-exam,https://www.pmtraining.com/public/pMemberLogin.aspx
PMI-ACP,PMI,Agile,Agile,,https://www.pmi.org/,Certification,12/1/2021,,,,0%,,https://www.onlinepmti.com/ACP,"$2,000.00 ",1,"$2,000.00 ",ArmyIgnited,,,,,,"https://www.onlinepmti.com/ACP/home#

"
SAFe,American Technology Consulting,Agile,Agile,,https://www.atc-training.net/,Certification,2/26/2022,,4/15/2022,,0%,,https://www.atc-training.net/,$500.00 ,1,$500.00 ,ArmyIgnited,,,,ArmyIgnited Approval Pending 2/26,,
PMI-CAPM,PMI,Project Management,Project Management,,https://www.pmi.org/,Certification,1/1/2022,,11/1/2022,,0%,,https://my.pmi.org/,$300.00 ,1,$300.00 ,ArmyIgnited,,,,,,
PMI-PMP,PMI,Project Management,Project Management,,https://www.pmi.org/,Certification,12/1/2021,,12/1/2022,,0%,,https://my.pmi.org/,$300.00 ,1,$300.00 ,ArmyIgnited,,,,Funding approved. Ready to schedule,,
Data Science Certificate,University of Louisville,Data Analysis,Python,,https://engineering.louisville.edu/,Academic Certificate,1/10/2022,,5/1/2023,,0%,,,$750.00 ,2,"$1,500.00 ",ArmyIgnited,,,,,,
IBM Data Analytics with Excel and R,IBM,Data Analysis,R,Microsoft Excel,https://www.coursera.org/programs/casy-on-demand-learning-program-yul8r?currentTab=MY_COURSES&productId=QQGg65luEeugtw5wj3v7iQ&productType=s12n&showMiniModal=true,Professional Certificate,10/10/2022,,12/1/2022,,0%,,,$300.00 ,1,$300.00 ,Vetjobs,,,,,,
Google IT Automation with Python,Google,Data Analysis,Python,,https://www.coursera.org/learn/python-operating-system/home/welcome,Professional Certificate,12/1/2021,,6/1/2022,,25%,,,$300.00 ,1,$300.00 ,Vetjobs,,,,,,
Excel Master Certification,eLearning,Microsoft Excel,Microsoft Excel,,https://elearning.iact.ie/,Certification,8/1/2021,,8/1/2022,,75%,,https://elearning.iact.ie/skill/371445/qbgzCjeT,$49.00 ,1,$49.00 ,Self,,,,Pending final project,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
