Contact Start Utc Ts,Contact End Utc Ts,Negative Survey Response Count,Survey Response Count,Language,End State,Cancel Reason,Cancel Reason Explained
2020-01-07 04:39:03,2020-01-07 04:41:00,0,0,en_US,DroppedConnection,,
2020-01-07 04:36:26,2020-01-07 04:38:03,0,0,en_US,DroppedConnection,,
