Start Time,End Time,Session Type,Session Subtype,Creation Method,Local Time Zone Offset,Activity Score,Intense Duration (ms),Moderate Duration (ms),Max Heart Rate (bpm),Average Heart Rate (bpm),Steps,Calories,Software Version,Software OS,Software OS Version,Active Time (ms),Total Duration (ms),Activity Pause,Session Source
2022-07-08T20:35:43.703Z,2022-07-08T20:55:39.512Z,WORKOUT,WALKING,Automatic,-6.0,2.763580833333333,No Data,120000.0,123.0,97.0,1214.0,149.0,1.0.118889,ios,15.6,1195809.0,1195809.0,Not Applicable,User Logged
2022-07-08T19:15:02.729Z,2022-07-08T19:55:53.044Z,WORKOUT,WALKING,Automatic,-6.0,6.547725833333334,No Data,300000.0,123.0,86.0,2533.0,242.0,1.0.118889,ios,15.6,2450315.0,2450315.0,Not Applicable,User Logged
2022-07-08T16:34:41.433Z,2022-07-08T17:07:32.604Z,WORKOUT,RUNNING,Automatic,-6.0,65.7057,1971171.0,No Data,178.0,167.0,5100.0,622.0,1.0.118889,ios,15.6,1971171.0,1971171.0,Not Applicable,User Logged
2022-06-17T04:54:10.702Z,2022-06-17T05:18:04.344Z,WORKOUT,RUNNING,Automatic,-5.0,41.16348166666667,1140000.0,184344.0,134.0,122.0,3311.0,289.0,1.0.114475,ios,15.6,1433642.0,1433642.0,Not Applicable,User Logged
2022-06-16T23:48:00.936Z,2022-06-17T00:30:00.000Z,WORKOUT,OTHER,Automatic,-5.0,14.99922,No Data,840000.0,121.0,84.0,1038.0,191.0,1.0.114475,ios,15.6,2519064.0,2519064.0,Not Applicable,User Logged
2022-06-16T22:22:00.000Z,2022-06-16T22:53:00.000Z,WORKOUT,OTHER,Automatic,-5.0,14.6,No Data,840000.0,126.0,94.0,434.0,138.0,1.0.114475,ios,15.6,1860000.0,1860000.0,Not Applicable,User Logged
2022-06-16T04:01:00.000Z,2022-06-16T04:31:00.000Z,WORKOUT,OTHER,Automatic,-5.0,9.0,No Data,480000.0,112.0,87.0,713.0,136.0,1.0.114475,ios,15.6,1800000.0,1800000.0,Not Applicable,User Logged
2022-06-16T02:31:00.722Z,2022-06-16T03:00:52.406Z,WORKOUT,RUNNING,Automatic,-5.0,56.796265000000005,1672406.0,60000.0,146.0,134.0,4402.0,415.0,1.0.114475,ios,15.6,1791684.0,1791684.0,Not Applicable,User Logged
2022-06-15T22:51:00.000Z,2022-06-15T23:38:00.000Z,WORKOUT,OTHER,Automatic,-5.0,18.2,No Data,1020000.0,125.0,88.0,1230.0,178.0,1.0.114475,ios,15.6,2820000.0,2820000.0,Not Applicable,User Logged
2022-06-13T19:42:00.000Z,2022-06-13T20:13:00.000Z,WORKOUT,OTHER,Automatic,-5.0,8.7,No Data,480000.0,112.0,91.0,921.0,164.0,1.0.114475,ios,15.6,1860000.0,1860000.0,Not Applicable,User Logged
2022-06-12T17:41:00.000Z,2022-06-12T18:07:00.000Z,WORKOUT,OTHER,Automatic,-5.0,6.9,No Data,360000.0,111.0,95.0,814.0,117.0,1.0.114475,ios,15.6,1560000.0,1560000.0,Not Applicable,User Logged
2022-06-12T16:55:36.194Z,2022-06-12T17:28:28.047Z,WORKOUT,RUNNING,Automatic,-5.0,63.864216666666664,1860000.0,111853.0,167.0,150.0,5061.0,538.0,1.0.114475,ios,15.6,1971853.0,1971853.0,Not Applicable,User Logged
2022-06-11T20:45:19.195Z,2022-06-11T20:56:17.004Z,WORKOUT,WALKING,Automatic,-5.0,3.3840041666666667,No Data,180000.0,113.0,91.0,913.0,77.0,1.0.114475,ios,15.6,657809.0,657809.0,Not Applicable,User Logged
2022-06-11T16:43:00.000Z,2022-06-11T16:56:00.000Z,WORKOUT,OTHER,Automatic,-5.0,14.1,300000.0,240000.0,149.0,118.0,224.0,94.0,1.0.114475,ios,15.6,780000.0,780000.0,Not Applicable,User Logged
2022-06-10T21:25:00.000Z,2022-06-10T21:40:00.000Z,WORKOUT,OTHER,Automatic,-5.0,9.2,No Data,540000.0,118.0,101.0,195.0,82.0,1.0.114475,ios,15.6,900000.0,900000.0,Not Applicable,User Logged
2022-06-10T16:57:16.288Z,2022-06-10T17:16:11.595Z,WORKOUT,WALKING,Automatic,-5.0,0.7096625000000001,No Data,No Data,105.0,85.0,1140.0,112.0,1.0.114475,ios,15.6,1135307.0,1135307.0,Not Applicable,User Logged
2022-06-10T12:34:13.628Z,2022-06-10T12:53:08.867Z,WORKOUT,WALKING,Automatic,-5.0,17.822866666666666,60000.0,946372.0,142.0,116.0,1412.0,201.0,1.0.114475,ios,15.6,1135239.0,1135239.0,Not Applicable,User Logged
2022-06-10T11:30:31.296Z,2022-06-10T12:34:13.612Z,WORKOUT,RUNNING,Automatic,-5.0,123.25078666666667,3600000.0,193612.0,170.0,154.0,9843.0,1145.0,1.0.114475,ios,15.6,3822316.0,3822316.0,Not Applicable,User Logged
2022-06-08T04:11:34.259Z,2022-06-08T04:46:24.522Z,WORKOUT,RUNNING,Automatic,-5.0,58.17145083333333,1620000.0,240000.0,140.0,124.0,4611.0,457.0,1.0.114475,ios,15.6,2090263.0,2090263.0,Not Applicable,User Logged
2022-06-06T13:11:57.816Z,2022-06-06T13:23:00.000Z,WORKOUT,OTHER,Automatic,-5.0,6.236400000000001,No Data,362184.0,107.0,96.0,430.0,67.0,1.0.113437,ios,15.6,662184.0,662184.0,Not Applicable,User Logged
2022-06-06T12:16:03.186Z,2022-06-06T13:09:48.263Z,WORKOUT,RUNNING,Automatic,-5.0,100.85438333333333,2940000.0,168263.0,156.0,143.0,8185.0,866.0,1.0.113437,ios,15.6,3225077.0,3225077.0,Not Applicable,User Logged
2022-06-05T21:33:00.000Z,2022-06-05T22:02:00.000Z,WORKOUT,OTHER,Automatic,-5.0,7.7,No Data,420000.0,130.0,86.0,753.0,147.0,1.0.113437,ios,15.6,1740000.0,1740000.0,Not Applicable,User Logged
