Esn,Country,Region Code,Device Description,Ip,Ts
NFAPPL-02-IPHONE14=5-CC8B828CC65C22B96A548E50003EAF5B3EAC0BF42D525F1B13A98CA949AFAFD2,US,TX,Apple iPhone 13,76.185.170.28,2022-05-19 03:22:14
NFAPPL-01-IPAD12=1-EE5A6953C228DCF8754EF5396BFFD73CDDE4A80ED37D376EF84E81B6B83362BA,US,TX,"Apple iPad 10.2"" ( Wi-Fi Only - 9th Gen )",76.185.170.28,2022-03-08 04:57:44
