Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Guest,NFANDROID2-PRV-FTVET31DOVI2020-AMAZOAFTDCT31-16306-1360699F7E985F3E9E189C9F4A7E02B2A6B38ADD14DBC1B0F7250F15D0B6A1E1,Amazon FTVET31DOVI2020 Smart TV,2020-11-04T04:12:01.356Z,2022-05-22T16:23:29.855Z,2020-11-04T04:12:01.356Z,2022-05-22T14:59:13.824Z,2020-11-04T17:18:43.579Z,2022-04-12T00:57:48.875Z,2020-11-04T17:18:43.579Z,2022-04-12T00:57:48.875Z,
Dad,NFXBSX-02-1AB85J0902SMJ805JZYCVDWPFCRAA674C47P38U8B4CNM9ZKK592,Microsoft Xbox Series S,,,,,,,,,
Mom,RKU-380XX-YF000S455300,Roku Amarillo1080 Set Top Box,2020-05-06T01:27:39.448Z,2022-04-03T16:28:32.108Z,2020-05-22T21:13:49.104Z,2022-04-03T16:28:32.108Z,2020-05-06T01:27:39.448Z,2022-04-03T16:28:32.108Z,2020-05-22T21:13:49.104Z,2022-04-03T16:28:32.108Z,
Dad,RKU-7XXXXDYS0046097619,Roku Longview DV Smart TV,2019-10-31T00:38:38.540Z,2022-05-10T01:22:28.209Z,2019-11-08T23:06:27.464Z,2022-05-10T01:22:28.209Z,2020-07-06T04:37:30.699Z,2022-03-20T05:16:41.976Z,2020-07-07T14:20:25.676Z,2022-03-20T05:16:41.976Z,
Dad,NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-16384-FBAC0857D16219F8D782F13C51844802F10DC2B4BD3BF6DB6E11C5A15C751D7C,FireTV Stick 2016,2020-03-26T05:48:14.804Z,2022-03-18T06:34:25.950Z,2020-04-20T19:48:24.936Z,2022-03-18T06:10:32.052Z,2020-03-26T05:48:14.804Z,2022-03-18T06:34:25.950Z,2020-07-03T05:45:25.353Z,2022-03-18T06:10:32.052Z,
Dad,NFCDSF-PH-J2FRZQCFPCDKH5KUPDRPRVJRCL2TQV,Netflix iPhone-Safari iPhone,,,,,,,,,
Mom,NFAPPL-01-IPAD12=1-EE5A6953C228DCF8754EF5396BFFD73CDDE4A80ED37D376EF84E81B6B83362BA,Apple iPad 10.2 inch 9th Gen Wi-Fi,,,,,,,,,
Guest,NFAPPL-01-IPAD12=1-EE5A6953C228DCF8754EF5396BFFD73CDDE4A80ED37D376EF84E81B6B83362BA,Apple iPad 10.2 inch 9th Gen Wi-Fi,,,,,,,,,
Tree,NFAPPL-01-IPAD12=1-EE5A6953C228DCF8754EF5396BFFD73CDDE4A80ED37D376EF84E81B6B83362BA,Apple iPad 10.2 inch 9th Gen Wi-Fi,,,,,,,,,
Dad,NFAPPL-01-IPAD12=1-EE5A6953C228DCF8754EF5396BFFD73CDDE4A80ED37D376EF84E81B6B83362BA,Apple iPad 10.2 inch 9th Gen Wi-Fi,,,,,,,,,
Dad,NFUWA-001-BF805D3BCB0E01B1DE527AF8F83F53279D629D0B7C5E4A7BB5926E119144982D,Netflix Windows App - Cadmium Windows Mobile,2020-07-08T00:44:36.616Z,2022-03-03T02:34:29.180Z,2020-07-08T00:44:36.616Z,2022-03-03T02:34:29.180Z,2020-07-08T00:44:36.616Z,2022-03-03T02:34:29.180Z,2020-07-08T00:44:36.616Z,2022-03-03T02:34:29.180Z,
Dad,RKU-380XX-YF000S455300,Roku Amarillo1080 Set Top Box,2020-05-06T01:27:39.448Z,2022-04-03T16:28:32.108Z,2020-05-22T21:13:49.104Z,2022-04-03T16:28:32.108Z,2020-06-26T03:54:01.017Z,2022-02-05T22:02:10.396Z,2020-06-26T03:56:18.092Z,2022-02-05T22:02:10.396Z,
Dad,NFCDSF-PH-HQXC44H4TRY4NGXMDAHV425EJLAUV0,Netflix iPhone-Safari iPhone,,,,,,,,,
Dad,NFUWA-001-23CFC46AA50210E8C0C16E7FA575DAC1F0B50285F635F1052444718877F0FC6D,Netflix Windows App - Cadmium Windows Mobile,2020-06-26T04:31:41.985Z,2021-10-18T23:21:46.127Z,2020-06-26T04:31:52.316Z,2021-10-18T23:21:46.127Z,2020-06-26T04:31:41.985Z,2021-10-18T23:21:46.127Z,2020-06-26T04:31:52.316Z,2021-10-18T23:21:46.127Z,
Dad,NFCDSF-01-H5X9592WG27G6LN9AATT3NNR4HL84W,Safari MAC (Cadmium),2021-03-27T03:21:39.832Z,2021-09-27T00:26:07.220Z,2021-03-27T03:21:39.832Z,2021-09-26T23:44:15.140Z,2021-03-27T03:21:39.832Z,2021-09-27T00:26:07.220Z,2021-03-27T03:21:39.832Z,2021-09-26T23:44:15.140Z,
Guest,RKU-7XXXXDYS0046097619,Roku Longview DV Smart TV,2019-10-31T00:38:38.540Z,2022-05-10T01:22:28.209Z,2019-11-08T23:06:27.464Z,2022-05-10T01:22:28.209Z,2019-11-07T21:05:16.152Z,2021-09-21T04:50:42.198Z,2019-11-08T23:06:27.464Z,2021-09-21T04:23:29.484Z,
Dad,NFANDROID2-PRV-TVAFTKM-AMAZOAFTJMST12-8123-DAF3EE628CE360A44B6A789B7D6AC3F73CA87D1BE2150E455FC60C431F79A374,Amazon TVAFTKM Smart TV,2021-09-17T04:15:52.550Z,2021-09-20T15:41:44.137Z,2021-09-17T04:22:58.732Z,2021-09-20T15:41:44.137Z,2021-09-20T15:41:16.023Z,2021-09-20T15:41:44.137Z,2021-09-20T15:41:44.137Z,2021-09-20T15:41:44.137Z,
Guest,NFANDROID2-PRV-TVAFTKM-AMAZOAFTJMST12-8123-DAF3EE628CE360A44B6A789B7D6AC3F73CA87D1BE2150E455FC60C431F79A374,Amazon TVAFTKM Smart TV,2021-09-17T04:15:52.550Z,2021-09-20T15:41:44.137Z,2021-09-17T04:22:58.732Z,2021-09-20T15:41:44.137Z,2021-09-17T04:15:52.550Z,2021-09-20T15:40:01.783Z,2021-09-17T04:22:58.732Z,2021-09-20T02:35:16.392Z,
Tree,NFANDROID2-PRV-TVAFTKM-AMAZOAFTJMST12-8123-DAF3EE628CE360A44B6A789B7D6AC3F73CA87D1BE2150E455FC60C431F79A374,Amazon TVAFTKM Smart TV,2021-09-17T04:15:52.550Z,2021-09-20T15:41:44.137Z,2021-09-17T04:22:58.732Z,2021-09-20T15:41:44.137Z,2021-09-19T16:24:12.899Z,2021-09-20T01:14:27.444Z,2021-09-19T16:24:51.051Z,2021-09-20T00:21:37.124Z,
Mom,NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-16384-FBAC0857D16219F8D782F13C51844802F10DC2B4BD3BF6DB6E11C5A15C751D7C,FireTV Stick 2016,2020-03-26T05:48:14.804Z,2022-03-18T06:34:25.950Z,2020-04-20T19:48:24.936Z,2022-03-18T06:10:32.052Z,2020-05-22T05:21:53.467Z,2021-09-02T23:52:50.486Z,2020-06-10T04:12:11.707Z,2021-09-02T23:52:50.486Z,
Tree,GOOGCAP0010000000000000005643476,Google Chromecast V5 Streaming Stick,2021-07-17T20:10:00.487Z,2021-07-18T02:10:43.247Z,2021-07-17T20:10:00.487Z,2021-07-18T02:10:43.247Z,2021-07-17T20:10:00.487Z,2021-07-18T02:10:43.247Z,2021-07-17T20:10:00.487Z,2021-07-18T02:10:43.247Z,
Tree,NFAPPL-02-IPHONE12=1-CC8B828CC65C22B96A548E50003EAF5B3EAC0BF42D525F1B13A98CA949AFAFD2,Apple iPhone 11,2020-08-08T21:46:38.657Z,2022-05-03T05:01:02.964Z,2020-08-08T21:46:38.657Z,2022-01-02T20:12:58.952Z,2021-07-17T20:09:35.984Z,2021-07-18T02:09:18.240Z,,,
Dad,NFAPPL-01-IPAD11=2-1A6D4CF0A28D715FDF22A7AC1C804CCE97BCC54350174060DE9B0A235867DA4C,Apple iPad Mini 5th Gen (Wi-Fi/Cell),2021-07-13T02:22:20.603Z,2021-07-13T03:30:12.223Z,2021-07-13T02:22:20.603Z,2021-07-13T03:01:25.280Z,2021-07-13T02:22:20.603Z,2021-07-13T03:30:12.223Z,2021-07-13T02:22:20.603Z,2021-07-13T03:01:25.280Z,
Dad,WWW-BROWSE-HFPWHJ8UF2JL0XTMF4JJP723N8YC60,Netflix WWW-BROWSER UNSUPPORTED BROWSER,,,,,,,,,
Dad,WWW-BROWSE-HFMQGTP6MY6HF7NJP92FGW1TDR985R,Netflix WWW-BROWSER UNSUPPORTED BROWSER,,,,,,,,,
Mom,NFAPPL-02-IPHONE12=1-1B8D1E27DE06FE6D735C1B1BF97BE1E183DA52AE7D484E4E51E7DEC5CA0A1750,Apple iPhone 11,2021-01-30T05:31:24.296Z,2021-07-02T19:51:56.118Z,2021-01-30T05:31:24.296Z,2021-06-17T18:21:58.968Z,2021-01-30T05:31:24.296Z,2021-07-02T19:51:56.118Z,2021-01-30T05:31:24.296Z,2021-06-17T18:21:58.968Z,
Dad,NFAPPL-02-IPHONE12=1-1B8D1E27DE06FE6D735C1B1BF97BE1E183DA52AE7D484E4E51E7DEC5CA0A1750,Apple iPhone 11,2021-01-30T05:31:24.296Z,2021-07-02T19:51:56.118Z,2021-01-30T05:31:24.296Z,2021-06-17T18:21:58.968Z,,,,,
Dad,NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-8415-47642640C511A36BA6AF086C1EC6B3378E9A762D894355AC44D8EC24B69B34F6,FireTV 4K Stick 2018,2020-04-10T20:24:47.236Z,2020-11-15T02:56:13.424Z,2020-06-27T04:07:41.699Z,2020-11-15T02:56:13.424Z,2020-04-24T20:11:14.480Z,2020-11-15T02:56:13.424Z,2020-06-27T04:07:41.699Z,2020-11-15T02:56:13.424Z,
Dad,RKU-7XXXXHYN00N2125085,Roku Longview HDR10 Smart TV,2020-03-24T23:24:11.832Z,2022-05-19T13:10:54.556Z,2020-06-01T05:07:10.932Z,2022-05-19T13:10:54.556Z,2020-06-26T03:50:57.500Z,2020-07-08T03:23:17.182Z,2020-07-05T18:46:00.135Z,2020-07-08T03:04:59.636Z,
Tree,LGCM20143=21001073484,LG 2014 LG SoC Hotel STB,2021-07-11T02:59:06.055Z,2021-07-15T03:48:46.671Z,2021-07-11T02:59:06.055Z,2021-07-15T03:48:46.671Z,2021-07-11T22:36:51.388Z,2021-07-15T03:48:46.671Z,2021-07-11T22:36:51.388Z,2021-07-15T03:48:46.671Z,
Guest,LGCM20143=21001064934,LG 2014 LG SoC Hotel STB,2021-07-12T23:47:09.120Z,2021-07-13T01:50:21.196Z,2021-07-12T23:47:09.120Z,2021-07-13T01:50:21.196Z,2021-07-12T23:47:09.120Z,2021-07-13T01:50:21.196Z,2021-07-12T23:47:09.120Z,2021-07-13T01:50:21.196Z,
Mom,LGCM20143=21001073484,LG 2014 LG SoC Hotel STB,2021-07-11T02:59:06.055Z,2021-07-15T03:48:46.671Z,2021-07-11T02:59:06.055Z,2021-07-15T03:48:46.671Z,2021-07-11T02:59:06.055Z,2021-07-11T05:00:56.339Z,2021-07-11T02:59:06.055Z,2021-07-11T05:00:56.339Z,
Mom,NFAPPL-01-IPAD5=1-1B8D1E27DE06FE6D735C1B1BF97BE1E183DA52AE7D484E4E51E7DEC5CA0A1750,Apple iPad Mini 4 WiFi,2021-03-20T02:17:04.923Z,2021-06-16T23:29:51.147Z,2021-03-20T02:17:04.923Z,2021-06-16T23:29:51.147Z,2021-03-20T02:17:04.923Z,2021-06-16T23:29:51.147Z,2021-03-20T02:17:04.923Z,2021-06-16T23:29:51.147Z,
Dad,NFAPPL-02-IPHONE11=8-EA789BE80284BF3765B216316C0194F411282C40004F207DA2DFD062D7FC78C7,Apple iPhone XR,2020-08-12T12:54:57.468Z,2021-05-02T18:46:18.024Z,2020-08-12T12:54:57.468Z,2021-05-02T18:03:53.984Z,2020-08-12T12:54:57.468Z,2021-05-02T18:46:18.024Z,2020-08-12T12:54:57.468Z,2021-05-02T18:03:53.984Z,
Tree,NFUWA-001-C78295A473E1EA258D5999EA8F0E1EC759FE718A0DB84FA4820A288CAA683CFA,Netflix Windows App - Cadmium Windows Mobile,2020-07-14T22:55:45.974Z,2021-04-02T16:46:05.395Z,2020-07-14T22:55:45.974Z,2021-04-02T16:46:05.395Z,2020-07-14T22:55:45.974Z,2021-04-02T16:46:05.395Z,2020-07-14T22:55:45.974Z,2021-04-02T16:46:05.395Z,
Mom,NFANDROID1-PRV-T-L3-AMAZOKFMUWI-4445-0F3B10C9F50B0EBBA9535AEBCB06AB381A1DC47B68D0A0186FB273CED76629C75,Android DefaultWidevineL3Tablet Android Tablet,2021-01-27T01:49:24.856Z,2021-01-27T01:49:24.856Z,2021-01-27T01:49:24.856Z,2021-01-27T01:49:24.856Z,2021-01-27T01:49:24.856Z,2021-01-27T01:49:24.856Z,2021-01-27T01:49:24.856Z,2021-01-27T01:49:24.856Z,
Tree,RKU-380XX-YF000S455300,Roku Amarillo1080 Set Top Box,2020-05-06T01:27:39.448Z,2022-04-03T16:28:32.108Z,2020-05-22T21:13:49.104Z,2022-04-03T16:28:32.108Z,2020-11-27T02:58:04.963Z,2020-11-27T03:51:36.472Z,2020-11-27T02:58:04.963Z,2020-11-27T03:10:04.465Z,
Guest,NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-16384-FBAC0857D16219F8D782F13C51844802F10DC2B4BD3BF6DB6E11C5A15C751D7C,FireTV Stick 2016,2020-03-26T05:48:14.804Z,2022-03-18T06:34:25.950Z,2020-04-20T19:48:24.936Z,2022-03-18T06:10:32.052Z,2020-11-06T16:57:57.123Z,2020-11-06T17:19:50.595Z,2020-11-06T16:57:57.123Z,2020-11-06T17:19:50.595Z,
Tree,NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-16384-FBAC0857D16219F8D782F13C51844802F10DC2B4BD3BF6DB6E11C5A15C751D7C,FireTV Stick 2016,2020-03-26T05:48:14.804Z,2022-03-18T06:34:25.950Z,2020-04-20T19:48:24.936Z,2022-03-18T06:10:32.052Z,2020-04-20T19:46:39.870Z,2020-09-20T06:38:33.612Z,2020-04-20T19:48:24.936Z,2020-09-20T06:14:43.072Z,
