Certification Tracker,,,,,,,,,,,,,,,,,,,,,,,
My Certifications,Organization,Concentration ,Skill 1,Skill 2,Organization URL,Type,START DATE,FINISH DATE,FINISH Date Goal,ReCertification Date,% COMPLETE,Status,URL,Exam/Training Cost,Exam Attempts,Total Costs,Funding Source, Additional Study Expenses ,Best Study Resource,Personal Expenses ,NOTES,Additional Study Resource,Additional Study Resource2
IBM Data Analyst,IBM,Data Analysis,Python,,https://www.coursera.org/,Professional Certificate,10/1/2021,1/16/2022,,,100%,Done,https://www.coursera.org/account/accomplishments/professional-cert/CMXGKU9D2JRX,300,1,300,Vetjobs,,,,,,
SHMR-SCP,SHRM,Human Resources ,Human Resources,,https://shrm.org/,Certification,1/16/2022,1/31/2022,,5/31/2025,100%,Done,https://portal.shrm.org/,300,1,300,ArmyIgnited,,,,,,
Excel Specialist Certification,eLearning,Microsoft Excel,Microsoft Excel,,https://elearning.iact.ie/,Certification,8/1/2021,2/6/2022,,,100%,Done,https://elearning.iact.ie/skill/371445/qbgzCjeT,,1,,Self,,,,,,
Excel Core Certification,eLearning,Microsoft Excel,Microsoft Excel,,https://elearning.iact.ie/,Certification,8/1/2021,2/6/2022,,,100%,Done,https://elearning.iact.ie/skill/371445/qbgzCjeT,,1,,Self,,,,,,
Excel Developer Certification,eLearning,Microsoft Excel,Microsoft Excel,,https://elearning.iact.ie/,Certification,8/1/2021,2/6/2022,,,100%,Done,https://elearning.iact.ie/skill/371445/qbgzCjeT,,1,,Self,,,,,,
Excel Architect Certification,eLearning,Microsoft Excel,Microsoft Excel,,https://elearning.iact.ie/,Certification,8/1/2021,2/6/2022,,,100%,Done,https://elearning.iact.ie/skill/371445/qbgzCjeT,,1,,Self,,,,,,
PMI-DASM,PMI,Agile,Agile,,https://www.pmi.org/,Certification,1/10/2022,2/19/2022,,2/19/2023,100%,Done,https://my.pmi.org/,270,1,270,ArmyIgnited,,,,,,
Lean Specialist,AIGPE,Lean Six Sigma,Lean Six Sigma,,https://ibmcsr.udemy.com/course/lean-management-certification/learn/lecture/28440872?start=1#overview,Certification,2/21/2022,2/22/2022,,,100%,Done,https://ibmcsr.udemy.com/course/lean-management-certification/learn/lecture/28440872?start=1#overview,100,1,100,Vetjobs,,,,,,
Lean Expert,AIGPE,Lean Six Sigma,Lean Six Sigma,,https://ibmcsr.udemy.com/course/lean-management-p2-certification/learn/lecture/30455836?start=0#overview,Certification,2/22/2022,2/23/2022,,,100%,Done,https://ibmcsr.udemy.com/course/lean-management-p2-certification/learn/lecture/30455836?start=0#overview,100,1,100,Vetjobs,,,,,,
Agile Certified Professional,SSGI,Agile,Agile,,https://www.6sigmacertificationonline.com/,Certification,2/1/2022,3/14/2022,,,100%,Done,https://courses.sixsigmaglobalinstitute.com/enrollments,270,1,270,ArmyIgnited,,,,Pending funding approval 2/1/22,,
