,Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace,Avg Speed (mi/h),Max Speed,Avg Heart Rate,Steps,Notes,Source,Link,Calculated
18,2022-03-20,2022-03-20,Run,837,6.2,3694,9.93,0.0,6.04,0.0,104.45,9787.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6461523061,61.56666666666667
19,2022-03-19,2022-03-19,Run,830,6.2,3613,9.71,0.0,6.18,0.0,104.45,9593.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6459644329,60.21666666666667
20,2022-03-14,2022-03-13,Run,418,3.1,1847,9.93,0.0,6.04,0.0,104.45,4893.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6448408846,30.783333333333335
21,2022-03-11,2022-03-11,Run,817,6.2,3834,10.3,0.96,5.83,62.45,155.0,10219.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6441968989,63.9
22,2022-03-11,2022-03-10,Run,410,3.1,1750,9.41,0.0,6.38,0.0,104.45,4661.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6441973732,29.166666666666668
23,2022-03-09,2022-03-09,Run,411,3.1,1757,9.45,0.0,6.35,0.0,104.45,4678.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6434423176,29.283333333333335
24,2022-03-06,2022-03-06,Run,1854,13.1,9189,11.69,0.68,5.13,88.3,156.0,22087.0,b'Run the Alamo Half Marathon',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6429988507,153.15
25,2022-03-05,2022-03-05,Run,422,3.1,1886,10.14,0.0,5.92,0.0,104.45,4987.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6428785840,31.433333333333334
27,2022-03-01,2022-03-01,Run,1464,10.51,6776,10.75,0.0,5.58,0.0,104.45,18259.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6420580498,112.93333333333334
28,2022-02-27,2022-02-27,Run,824,6.2,3548,9.54,0.0,6.29,0.0,104.45,9437.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6418309351,59.13333333333333
29,2022-02-27,2022-02-27,Run,791,5.75,3600,10.43,0.0,5.75,0.0,104.45,9493.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6416411878,60.0
30,2022-02-23,2022-02-23,Run,404,3.1,1600,8.6,0.0,6.98,0.0,104.45,4303.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6409595890,26.666666666666668
32,2022-02-21,2022-02-21,Run,475,3.61,2071,9.57,0.94,6.27,63.82,161.0,5569.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6406053613,34.516666666666666
33,2022-02-19,2022-02-17,Run,403,3.1,1620,8.71,0.0,6.89,0.0,104.45,4350.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6402870877,27.0
34,2022-02-19,2022-02-16,Run,265,2.0,1132,9.43,0.0,6.36,0.0,104.45,3014.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6402870073,18.866666666666667
35,2022-02-13,2022-02-13,Run,403,3.1,1611,8.66,0.0,6.93,0.0,104.45,4329.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6391806598,26.85
36,2022-02-12,2022-02-12,Run,411,3.1,1767,9.5,0.0,6.32,0.0,104.45,4702.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6390010483,29.45
37,2022-02-12,2022-02-11,Run,403,3.1,1641,8.82,0.0,6.8,0.0,104.45,4401.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6390011467,27.35
38,2022-02-12,2022-02-10,Run,397,3.1,1521,8.18,0.0,7.34,0.0,104.45,4114.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6390012181,25.35
