Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Guest,US,Smart TV,0,fr,Frasier,play,video_info,2019-05-16 01:18:55
Guest,US,Smart TV,0,fr,Frasier,view_video_info,title_results,2019-05-16 01:18:55
Guest,US,Smart TV,0,co,Coco (Spanish Version),view_video_info,title_results,2019-05-05 03:24:51
Guest,US,Smart TV,0,co,Coco (Spanish Version),play,video_info,2019-05-05 03:24:51
Guest,DE,Streaming Stick,0,ca,,play,video_info,2019-05-04 21:03:07
Guest,DE,Streaming Stick,0,ca,,view_video_info,title_results,2019-05-04 21:03:02
Guest,DE,Streaming Stick,0,ca,Die Abenteuer des Captain Underpants,play,video_info,2019-05-04 20:59:05
Guest,DE,Streaming Stick,0,ca,Die Abenteuer des Captain Underpants,view_video_info,title_results,2019-05-04 20:59:05
Guest,DE,Streaming Stick,0,p,Pocoyo,view_video_info,title_results,2019-05-04 11:25:51
Guest,DE,Streaming Stick,0,p,Pocoyo,play,video_info,2019-05-04 11:25:51
Guest,DE,Streaming Stick,0,p,PAW Patrol,view_video_info,title_results,2019-05-04 10:05:33
Guest,DE,Streaming Stick,0,p,PAW Patrol,play,video_info,2019-05-04 10:05:33
Guest,DE,Streaming Stick,0,soni,,view_video_info,title_results,2019-04-29 17:11:20
Guest,DE,Streaming Stick,0,soni,,play,video_info,2019-04-29 17:11:20
Guest,DE,Streaming Stick,0,soni,,view_video_info,title_results,2019-04-29 17:10:00
Guest,DE,Streaming Stick,0,soni,,play,video_info,2019-04-29 17:10:00
Guest,DE,Streaming Stick,0,soni,,view_video_info,title_results,2019-04-29 17:09:38
Guest,DE,Streaming Stick,0,soni,,play,video_info,2019-04-29 17:09:38
Guest,DE,Streaming Stick,0,soni,Angry Birds,play,video_info,2019-04-29 17:06:16
Guest,DE,Streaming Stick,0,soni,Angry Birds,view_video_info,title_results,2019-04-29 17:06:16
Guest,DE,Streaming Stick,0,soni,Larva,view_video_info,suggestion_title_results,2019-04-29 16:57:38
Guest,DE,Streaming Stick,0,soni,Larva,play,video_info,2019-04-29 16:57:38
Guest,DE,Streaming Stick,0,soni,Sonic Revolution: A Celebration of the MC5,view_suggestion_info,suggestion_results,2019-04-29 16:57:36
