Profile Name,Title Desc,Selection Type,Choice Segment Id,Has Watched,Source,Utc Timestamp
Tree,"Minecraft: Story Mode: Season 1: ""The Last Place You Look""",countdown_interrupted,Thanks for grabbing it.,false,tvui,2020-06-05 16:21:22
Tree,"Minecraft: Story Mode: Season 1: ""The Last Place You Look""",countdown_interrupted,Help Reuben and Axel,true,tvui,2020-06-05 16:18:35
Tree,"Minecraft: Story Mode: Season 1: ""The Last Place You Look""",countdown_interrupted,Tuck and roll.,true,tvui,2020-06-05 16:15:18
Tree,"Minecraft: Story Mode: Season 1: ""The Last Place You Look""",countdown_interrupted,What’s that doing here?,true,tvui,2020-06-05 16:13:57
Tree,"Minecraft: Story Mode: Season 1: ""The Last Place You Look""",countdown_interrupted,Jump down,true,tvui,2020-06-05 16:11:55
Tree,"Minecraft: Story Mode: Season 1: ""The Last Place You Look""",countdown_interrupted,Let’s keep this between us.,true,tvui,2020-06-05 16:09:19
Tree,"Minecraft: Story Mode: Season 1: ""Assembly Required""",countdown_interrupted,Be careful.,true,tvui,2020-06-05 16:05:18
Tree,"Minecraft: Story Mode: Season 1: ""Assembly Required""",countdown_interrupted,He’s not leaving.,true,tvui,2020-06-05 16:04:02
Tree,"Minecraft: Story Mode: Season 1: ""Assembly Required""",countdown_interrupted,Go get help.,false,tvui,2020-06-05 16:01:51
Tree,"Minecraft: Story Mode: Season 1: ""Assembly Required""",countdown_interrupted,Follow Ellegaard,true,tvui,2020-06-05 16:00:03
Tree,"Minecraft: Story Mode: Season 1: ""Assembly Required""",countdown_interrupted,Thank you.,true,tvui,2020-06-05 15:58:17
Tree,"Minecraft: Story Mode: Season 1: ""Assembly Required""",countdown_interrupted,He can be a jerk.,false,tvui,2020-06-04 17:12:53
Tree,"Minecraft: Story Mode: Season 1: ""Assembly Required""",countdown_interrupted,He wasn’t on the map.,false,tvui,2020-06-04 17:10:37
Tree,"Minecraft: Story Mode: Season 1: ""Assembly Required""",countdown_interrupted,"Ellegaard, calm down.",false,tvui,2020-06-04 17:08:35
Tree,"Minecraft: Story Mode: Season 1: ""Assembly Required""",countdown_interrupted,You need to get along.,false,tvui,2020-06-04 17:07:30
Tree,"Minecraft: Story Mode: Season 1: ""Assembly Required""",countdown_interrupted,How did you escape?,false,tvui,2020-06-04 17:06:06
Tree,"Minecraft: Story Mode: Season 1: ""Assembly Required""",countdown_interrupted,Let’s do this.,true,tvui,2020-06-04 17:02:34
Tree,"Minecraft: Story Mode: Season 1: ""Assembly Required""",countdown_interrupted,Leave her alone.,true,tvui,2020-06-04 17:01:08
Tree,"Minecraft: Story Mode: Season 1: ""Assembly Required""",countdown_interrupted,We need your help.,false,tvui,2020-06-04 16:59:42
Tree,"Minecraft: Story Mode: Season 1: ""Assembly Required""",countdown_interrupted,Don’t touch anything.,false,tvui,2020-06-04 16:58:07
Tree,"Minecraft: Story Mode: Season 1: ""Assembly Required""",countdown_interrupted,Steal Repeater,false,tvui,2020-06-04 16:56:35
Tree,"Minecraft: Story Mode: Season 1: ""Assembly Required""",countdown_interrupted,School Boy,false,tvui,2020-06-04 16:55:38
Tree,"Minecraft: Story Mode: Season 1: ""Assembly Required""",countdown_interrupted,,true,tvui,2020-06-04 16:55:05
Tree,"Minecraft: Story Mode: Season 1: ""Assembly Required""",countdown_interrupted,Intellectual,true,tvui,2020-06-04 16:54:15
Tree,"Minecraft: Story Mode: Season 1: ""Assembly Required""",countdown_interrupted,You’re just as good.,true,tvui,2020-06-04 16:52:02
Tree,"Minecraft: Story Mode: Season 1: ""Assembly Required""",countdown_interrupted,Use sword,false,tvui,2020-06-04 16:49:09
Tree,Puss in Book: Trapped in an Epic Tale,countdown_interrupted,Kiss,true,tvui,2019-04-02 02:15:32
Tree,Puss in Book: Trapped in an Epic Tale,countdown_interrupted,Puss' Ending,false,tvui,2019-04-02 02:09:06
Tree,Puss in Book: Trapped in an Epic Tale,countdown_interrupted,Trout Song,false,tvui,2019-04-02 02:06:47
Tree,Puss in Book: Trapped in an Epic Tale,countdown_interrupted,Flamenco,true,tvui,2019-04-02 02:05:31
Tree,Puss in Book: Trapped in an Epic Tale,countdown_interrupted,Free the Genie,false,tvui,2019-04-02 02:01:41
